餐廳名稱,認證別,地區,性質,認證單位,地址,經度,緯度,行政區,類別
丹迪旅店-天母店,MFT,臺北市,早餐/住宿,中國回教協會,台北市士林區中山北路六段728巷2號,121.5280041,25.1148802,士林區,穆斯林商旅
丹迪旅店-大安森林公園店,MFT,臺北市,早餐/住宿,中國回教協會,台北市大安區信義路三段33號,121.5347045,25.0337884,大安區,穆斯林商旅
丹迪旅店-天津店,MFT,臺北市,早餐/住宿,中國回教協會,台北市中山區中山北路一段135巷13號,121.5232949,25.0516198,中山區,穆斯林商旅
喜瑞飯店,MFT,臺北市,早餐/住宿,中國回教協會,台北市中山區長安東路一段64號,121.5293759,25.0478936,中山區,穆斯林商旅
新驛旅店-台北車站一館,MFT,臺北市,早餐/住宿,中國回教協會,台北市中正區懷寧街7號,121.5143005,25.0461689,中正區,穆斯林商旅
新驛旅店-台北車站二館,MFT,臺北市,早餐/住宿,中國回教協會,台北市大同區長安西路81號,121.5166121,25.0511524,大同區,穆斯林商旅
新驛旅店台北車站三館,MFT,臺北市,早餐/住宿,中國回教協會,台北市大同區長安西路77號,121.5167032,25.051078,大同區,穆斯林商旅
新驛旅店-西門捷運店,MFT,臺北市,早餐/住宿,中國回教協會,台北市中正區寶慶路63號,121.509306,25.0418795,中正區,穆斯林商旅
新驛旅店-復興北路店,MFT,臺北市,早餐/住宿,中國回教協會,台北市中山區復興北路338號,121.5439205,25.059574,中山區,穆斯林商旅
水美溫泉會館,MFT,臺北市,早餐/住宿,中國回教協會,台北市北投區光明路224號,121.5050374,25.1361741,北投區,穆斯林商旅
台北109青旅,MFT,臺北市,早餐/住宿,中國回教協會,台北市中正區博愛路36號3樓,121.5112024,25.0460836,中正區,穆斯林商旅
賓王大飯店,MFT,臺北市,早餐/住宿,中國回教協會,台北市大同區南京西路163號3樓,121.5130998,25.0540833,大同區,穆斯林商旅
大來商旅- 桃莉廚房,MFT,臺北市,早餐/住宿,中國回教協會,台北市松山區長春路432號,121.5448882,25.0544472,松山區,穆斯林商旅
台北漢來大飯店,MFT,臺北市,早餐/住宿,中國回教協會,台北市南港區經貿一路168號,121.6200741,25.0576602,南港區,穆斯林商旅
雀客旅館-台北杭州-Rodeo,MFT,臺北市,早餐/住宿,中國回教協會,台北市中正區杭州南路一段12號,121.5254907,25.0400452,中正區,穆斯林商旅
五月家青旅-北車館,MFT,臺北市,早餐/住宿,中國回教協會,台北市中正區忠孝西路一段122號6樓,121.5109629,25.0473842,中正區,穆斯林商旅
艾特文旅-西門町台北,MFT,臺北市,早餐/住宿,中國回教協會,台北市萬華區武昌街二段124-2號4樓,121.5035953,25.0454099,萬華區,穆斯林商旅
承攜行旅-台北重慶館,MFT,臺北市,早餐/住宿,中國回教協會,台北市大同區重慶北路一段62號,121.5138097,25.052007,大同區,穆斯林商旅
同一大飯店,MFT,臺北市,早餐/住宿,中國回教協會,台北市中山區農安街36號,121.5269898,25.064778,中山區,穆斯林商旅
阿樹國際旅店,MFT,臺北市,早餐/住宿,中國回教協會,台北市松山區八德路三路76號4樓,121.5640961,25.0499581,松山區,穆斯林商旅
大地酒店-喜歡廳,MFR,臺北市,早午晚餐/住宿,中國回教協會,臺北市北投區奇岩路1號,121.5069956,25.1350426,北投區,穆斯林友善餐廳
大地酒店-喜歡廳,MFT,臺北市,早午晚餐/住宿,中國回教協會,臺北市北投區奇岩路1號,121.5069956,25.1350426,北投區,穆斯林商旅
臺北圓山大飯店 - 松山軒/松高軒,MFR,臺北市,早午晚餐/住宿,中國回教協會,臺北市中山區中山北路四段1號,121.5260195,25.0781054,中山區,穆斯林友善餐廳
臺北圓山大飯店 - 松山軒/松高軒,MFT,臺北市,早午晚餐/住宿,中國回教協會,臺北市中山區中山北路四段1號,121.5260195,25.0781054,中山區,穆斯林商旅
台北君品大酒店－頤宮中餐廳,MFR,臺北市,早午晚餐/住宿,中國回教協會,臺北市大同區承德路一段3號,121.5172486,25.0492915,大同區,穆斯林友善餐廳
台北君品大酒店－頤宮中餐廳,MFT,臺北市,早午晚餐/住宿,中國回教協會,臺北市大同區承德路一段3號,121.5172486,25.0492915,大同區,穆斯林商旅
北投老爺酒店,MFR,臺北市,住宿/早午晚餐,伊斯蘭商務發展有限公司,臺北市北投區中和街2號,121.503699,25.137558,北投區,穆斯林友善餐廳
北投老爺酒店,MFA,臺北市,住宿/早午晚餐,伊斯蘭商務發展有限公司,臺北市北投區中和街2號,121.503699,25.137558,北投區,穆斯林友善商旅
台北美福大飯店,MFR,臺北市,住宿/早午晚餐,伊斯蘭商務發展有限公司,臺北市中山區樂群二路55號,121.5538588,25.0806345,中山區,穆斯林友善餐廳
台北美福大飯店,MFA,臺北市,住宿/早午晚餐,伊斯蘭商務發展有限公司,臺北市中山區樂群二路55號,121.5538588,25.0806345,中山區,穆斯林友善商旅
洛碁大飯店 中華館,MFA,臺北市,住宿,伊斯蘭商務發展有限公司,臺北市中正區中華路一段41號13樓,121.5095037,25.044987,中正區,穆斯林友善商旅
松河璞旅,MFA,臺北市,住宿,伊斯蘭商務發展有限公司,臺北市松山區松河街112號,121.575086,25.0509098,松山區,穆斯林友善商旅
全家便利商店-大稻埕金慶店,MFS,臺北市,食品,中國回教協會,臺北市大同區南京西路308號1樓,121.5133769,25.0538722,大同區,無
全家便利商店-台北車站重慶店,MFS,臺北市,食品,中國回教協會,臺北市中正區重慶南路一段58號,121.5131118,25.0439414,中正區,無
洛碁大飯店 中華館,MFA,臺北市,住宿,伊斯蘭商務發展有限公司,臺北市中正區中華路一段41號13樓,121.5095037,25.044987,中正區,穆斯林友善商旅
松河璞旅,MFA,臺北市,住宿,伊斯蘭商務發展有限公司,臺北市松山區松河街112號,121.575086,25.0509098,松山區,穆斯林友善商旅
全家便利商店-大稻埕金慶店,MFS,臺北市,食品,中國回教協會,臺北市大同區南京西路308號1樓,121.5133769,25.0538722,大同區,無
全家便利商店-台鐵北店,MFS,臺北市,食品,中國回教協會,臺北市中正區北平西路3號(西北站),121.5176154,25.0468588,中正區,無
全家便利商店-台北車站重慶店,MFS,臺北市,食品,中國回教協會,臺北市中正區重慶南路一段58號,121.5131118,25.0439414,中正區,無
全家便利商店-台北車站富陽店,MFS,臺北市,食品,中國回教協會,臺北市中正區襄陽路7號1樓,121.5158335,25.0436426,中正區,無
全家便利商店-大稻埕甘州店,MFS,臺北市,食品,中國回教協會,臺北市大同區歸綏街181之2號,121.513269,25.0582942,大同區,無
全家便利商店-國父紀念館店,MFS,臺北市,食品,中國回教協會,臺北市大安區光復南路292號,121.5574169,25.0392635,大安區,無
全家便利商店-台北101店,MFS,臺北市,食品,中國回教協會,臺北市信義區市府路45號B1(商場編號53),121.5644443,25.0338211,信義區,無
全家便利商店-東門永康商圈金信店,MFS,臺北市,食品,中國回教協會,臺北市大安區信義路二段104號1樓,121.5275244,25.0337983,大安區,無
清真泰式廚房,MR,新北市,泰式料理,中國回教協會,新北市永和區中興街92號1樓,121.5188094,25.0121851,永和區,穆斯林餐廳
鍋棧精緻養生鍋,MR,新北市,中式料理,中國回教協會,新北市泰山區明志路三段38號,121.4229596,25.0369457,泰山區,穆斯林餐廳
瑪莎拉印度餐廳 板橋店,MR,新北市,印度料理,中國回教協會,新北市板橋區文化路二段476號,121.4751804,25.0328068,板橋區,穆斯林餐廳
瑪莎拉印度餐廳 三芝店,MR,新北市,印度料理,中國回教協會,新北市三芝區北勢子12-7號,121.4745462,25.2552296,三芝區,穆斯林餐廳
地中海私房料理,MR,新北市,地中海料理,中國回教協會,新北市深坑區北深路三段22號,121.6094375,25.0011987,深坑區,穆斯林餐廳
達卡印度廚房,MR,新北市,印度料理,中國回教協會,新北市林口區文化三路一段171號,121.3617764,25.0694403,林口區,穆斯林餐廳
炸鷄大獅-板橋愛買店,MFR,新北市,速食,中國回教協會,新北市板橋區貴興路101號1樓,121.4565754,25.0017921,板橋區,穆斯林友善餐廳
旺旺來亞州咖哩屋,MFR,新北市,午晚餐料理,中國回教協會,新北市中和區華新街23號,121.5076506,24.9851169,中和區,穆斯林友善餐廳
臺北新板希爾頓酒店 - 全日餐廳-悅．市集,MFR,新北市,早午晚餐/住宿,中國回教協會,新北市板橋區民權路88號,121.4624905,25.0113936,板橋區,穆斯林友善餐廳
臺北新板希爾頓酒店 - 全日餐廳-悅．市集,MFT,新北市,早午晚餐/住宿,中國回教協會,新北市板橋區民權路88號,121.4624905,25.0113936,板橋區,穆斯林商旅
福容大飯店新北深坑-福園中餐廳,MFR,新北市,早午晚餐/住宿,中國回教協會,新北市深坑區北深路三段236號,121.6003505,25.0042053,深坑區,穆斯林友善餐廳
福容大飯店新北深坑-福園中餐廳,MFT,新北市,早午晚餐/住宿,中國回教協會,新北市深坑區北深路三段236號,121.6003505,25.0042053,深坑區,穆斯林商旅
福容大飯店淡水漁人碼頭店 - 碧玉廳、翡翠廳、珊瑚廳、水仙廳、百合廳,MFR,新北市,早午晚餐/住宿,中國回教協會,新北市淡水區觀海路83號,121.4151708,25.1824319,淡水區,穆斯林友善餐廳
福容大飯店淡水漁人碼頭店 - 碧玉廳、翡翠廳、珊瑚廳、水仙廳、百合廳,MFT,新北市,早午晚餐/住宿,中國回教協會,新北市淡水區觀海路83號,121.4151708,25.1824319,淡水區,穆斯林商旅
板橋凱撒大飯店 - 蓮花泰式餐廳,MFR,新北市,早午晚餐/住宿,中國回教協會,新北市板橋區縣民大道二段8號,121.4627243,25.0117403,板橋區,穆斯林友善餐廳
板橋凱撒大飯店 - 蓮花泰式餐廳,MFT,新北市,早午晚餐/住宿,中國回教協會,新北市板橋區縣民大道二段8號,121.4627243,25.0117403,板橋區,穆斯林商旅
福隆貝悅大飯店股份有限公司,MFR,新北市,住宿/早午晚餐,伊斯蘭商務發展有限公司,新北市貢寮區福隆街41號,121.9439413,25.0184044,貢寮區,穆斯林友善餐廳
福隆貝悅大飯店股份有限公司,MFA,新北市,住宿/早午晚餐,伊斯蘭商務發展有限公司,新北市貢寮區福隆街41號,121.9439413,25.0184044,貢寮區,穆斯林友善商旅
汐止福泰大飯店,MFR,新北市,住宿/早午晚餐,伊斯蘭商務發展有限公司,新北市汐止區大同路一段128號,121.6313235,25.0549244,汐止區,穆斯林友善餐廳
汐止福泰大飯店,MFA,新北市,住宿/早午晚餐,伊斯蘭商務發展有限公司,新北市汐止區大同路一段128號,121.6313235,25.0549244,汐止區,穆斯林友善商旅
趣淘漫旅台北,MFT,新北市,早餐/住宿,中國回教協會,新北市板橋區中山路一段139號,121.4632118,25.0112692,板橋區,穆斯林商旅
美麗殿商旅,MFT,新北市,餐廳/住宿,中國回教協會,新北市板橋區府中路67號2樓,121.4579417,25.0093084,板橋區,穆斯林商旅
泰旺穆斯林泰式餐廳,AH,新北市,餐廳團套餐,台灣伊斯蘭協會,新北市中和區南華路50號1樓,121.5042767,24.9968049,中和區,無
